measure_number	beat	offset	duration	notes
0	2.5	0.0	0.5	('A3', 'A4', 'A5')
1	1.0	0.5	1.0	('E3', 'E4', 'E5')
1	2.5	2.0	0.125	('E3', 'E4')
1	2.625	2.125	0.125	('D3', 'D4')
1	2.75	2.25	0.125	('C#3', 'C#4')
1	2.875	2.375	0.125	('B2', 'B3')
2	1.0	2.5	1.0	('A2', 'A3')
2	2.5	4.0	0.5	('A3', 'A4', 'A5')
3	1.0	4.5	1.0	('F#3', 'F#4', 'F#5')
3	2.5	6.0	0.125	('F#3', 'F#4')
3	2.625	6.125	0.125	('E3', 'E4')
3	2.75	6.25	0.125	('D3', 'D4')
3	2.875	6.375	0.125	('C#3', 'C#4')
4	1.0	6.5	1.0	('B2', 'B3')
4	2.5	8.0	0.5	('D4', 'D5', 'D6')
5	1.0	8.5	1.0	('B3', 'B4', 'B5')
5	2.0	9.5	1.0	('G#3', 'G#4', 'G#5')
6	1.0	10.5	1.0	('E3', 'E4', 'E5')
6	2.0	11.5	1.0	('D3', 'D4', 'D5')
7	1.0	12.5	1.0	('B2', 'B3', 'B4')
7	2.0	13.5	1.0	('G#2', 'G#3', 'G#4')
8	1.0	14.5	1.0	('E2', 'E3', 'E4')
8	2.5	16.0	1/6	('A3',)
8	8/3	97/6	1/6	('C#4',)
8	17/6	49/3	1/6	('E4',)
9	1.0	16.5	0.5	('A2', 'C#3', 'E3', 'A3', 'A4')
9	1.5	17.0	0.5	('A2', 'C#3', 'E3', 'A3', 'B4')
9	2.0	17.5	0.5	('C#5',)
9	2.5	18.0	0.5	('D5',)
10	1.0	18.5	0.5	('E5',)
10	1.5	19.0	0.5	('F#5',)
10	2.0	19.5	0.5	('G#5',)
10	2.5	20.0	0.5	('A5',)
11	1.0	20.5	0.5	('E5',)
11	1.5	21.0	0.5	('E3', 'G#4', 'E5')
11	2.0	21.5	0.5	('F#3', 'A4', 'E5')
11	2.5	22.0	0.5	('G#3', 'B4', 'D5')
12	1.0	22.5	0.5	('A3', 'E4', 'C#5')
12	1.5	23.0	0.5	('A2',)
12	2.0	23.5	0.5	('C#3',)
12	2.5	24.0	0.5	('D3',)
13	1.0	24.5	0.5	('E3',)
13	1.5	25.0	0.5	('E3', 'G#3', 'E4')
13	2.0	25.5	0.5	('E3', 'A3', 'F#4')
13	2.5	26.0	0.5	('D3', 'B3', 'G#4')
14	1.0	26.5	0.5	('C#3', 'C#4', 'A4')
14	1.5	27.0	0.5	('E3', 'E4')
14	2.0	27.5	0.5	('C#3', 'A4')
14	2.5	28.0	0.5	('A2', 'C#5')
15	1.0	28.5	0.5	('G#2', 'B4', 'E5')
15	1.5	29.0	0.5	('E2', 'G#4', 'E5')
15	2.0	29.5	0.5	('F#2', 'A4', 'E5')
15	2.5	30.0	0.5	('G#2', 'B4', 'D5')
16	1.0	30.5	0.5	('A2', 'E4', 'C#5')
16	1.5	31.0	0.5	('G#2', 'E4', 'B4')
16	2.0	31.5	0.5	('F#2', 'E4', 'A4')
16	2.5	32.0	0.5	('B2', 'D#4', 'B4')
17	1.0	32.5	0.5	('E2', 'E3', 'B3', 'G#4')
17	1.5	33.0	0.5	('E2', 'B2', 'B3', 'E4')
17	2.0	33.5	0.5	('E2', 'F#3', 'A3', 'D#4', 'A4')
17	2.5	34.0	0.5	('E2', 'B2', 'A3', 'D#4', 'B4')
